feature,importance
賣超第9名分點前7天券商代號,31
買超第1名分點前6天買筆數,31
賣超第8名分點前9天券商代號,31
外資券商_前2天分點出貨比(%),31
官股券商_賣均值(千),31
買超第13名分點前2天券商代號,31
賣超第13名分點前15天券商代號,31
買超第12名分點前7天券商代號,31
買超第2名分點前1天券商代號,31
買超第1名分點前14天買張,31
主力券商_前18天分點吃貨比(%),31
買超第9名分點券商代號,31
賣超第12名分點前9天券商代號,30
買超第9名分點前7天券商代號,30
個股券商分點區域分析_近5日買超3公司區域密度,30
上市加權指數前17天收盤價,30
買超第9名分點前15天券商代號,30
日自營_自營商持股成本,30
買超第5名分點前7天券商代號,30
外資券商_分點出貨比(%),30
主力券商_前1天分點出貨比(%),30
賣超第3名分點前18天賣均張,30
賣超第1名分點前7天賣均張,30
賣超第8名分點前14天賣均張,30
賣超第13名分點前6天券商代號,30
賣超第7名分點前2天券商代號,30
買超第14名分點前11天券商代號,30
賣超第9名分點賣均張,30
個股券商分點籌碼分析_分點賣出熱門度(%),29
買超第1名分點前10天券商代號,29
賣超第2名分點前16天券商代號,29
賣超第10名分點前20天券商代號,29
賣超第11名分點前4天賣均值(千),29
買超第13名分點券商代號,29
外資券商_前13天分點出貨比(%),28
買超第11名分點前8天券商代號,28
賣超第14名分點前3天券商代號,28
外資券商_前14天分點出貨比(%),28
買超第3名分點前17天券商代號,28
賣超第15名分點前2天券商代號,28
個股券商分點籌碼分析_分點買進熱門度(%),28
買超第9名分點前13天券商代號,28
賣超第15名分點前11天券商代號,28
買超第1名分點前19天券商代號,28
賣超第8名分點前14天券商代號,28
個股券商分點區域分析_近60日買超3公司區域密度,28
賣超第3名分點前4天券商代號,28
買超第3名分點前18天券商代號,28
主力券商_前8天分點出貨比(%),27
買超第4名分點前11天買筆數,27
賣超第1名分點前11天賣筆數,27
賣超第5名分點前5天券商代號,27
外資券商_前20天分點出貨比(%),27
買超第10名分點買均張,27
買超第1名分點前11天券商代號,27
買超第13名分點前8天買均張,27
買超第6名分點前2天買筆數,27
主力券商_前9天分點吃貨比(%),27
買超第3名分點前5天券商代號,27
個股券商分點區域分析_近60日成交5公司區域密度,26
買超第3名分點買筆數,26
買超第3名分點前16天買筆數,26
買超第15名分點前8天買均值(千),26
買超第15名分點前13天買均張,26
個股券商分點區域分析_近60日賣超1公司區域密度,26
賣超第5名分點前2天券商代號,26
買超第14名分點前3天買均張,26
外資券商_前12天分點吃貨比(%),26
技術指標_SAR,26
主力券商_前4天分點吃貨比(%),26
賣超第11名分點前13天券商代號,26
買超第5名分點前5天券商代號,26
買超第12名分點前8天券商代號,25
買超第9名分點前12天券商代號,25
賣超第9名分點前16天券商代號,25
賣超第15名分點前9天券商代號,25
買超第8名分點前2天券商代號,25
技術指標_-DM(14),25
外資券商_前1天分點吃貨比(%),25
買超第15名分點前4天券商代號,25
賣超第1名分點前14天賣均值(千),25
買超第4名分點前6天券商代號,25
賣超第8名分點前12天券商代號,25
買超第14名分點前20天券商代號,25
主力券商_前12天分點出貨比(%),24
買超第12名分點前9天券商代號,24
買超第1名分點前5天金額增減(千),24
賣超第12名分點前12天券商代號,24
買超第1名分點買均張,24
買超第1名分點買筆數,24
買超第4名分點前20天買均張,24
賣超第3名分點前7天買均張,24
賣超第12名分點前12天金額增減(千),24
買超第7名分點前19天買均值(千),24
買超第15名分點前14天券商代號,24
買超第12名分點前1天券商代號,24
賣超第4名分點前16天券商代號,24
賣超第14名分點前11天賣均值(千),24
個股券商分點區域分析_近5日買超2分點區域密度,23
賣超第10名分點前19天賣均值(千),23
買超第1名分點前6天賣均價,23
買超第9名分點前14天賣均價,23
賣超第14名分點前12天賣均張,23
買超第14名分點前10天券商代號,23
