dataset,feature,mean_abs_shap
chunk_3,賣超第15名分點前3天張增減,0.0572748190136718
chunk_1,技術指標_ADX(14),0.0571792532954272
chunk_1,買超第3名分點前11天買筆數,0.0565922754052374
chunk_2,賣超第2名分點前10天買均張,0.0562862236547736
chunk_3,賣超第12名分點前20天張增減,0.0562757208582926
chunk_2,賣超第11名分點前18天買筆數,0.0561481939589535
chunk_1,買超第2名分點前11天買筆數,0.0560167447747052
chunk_1,買超第1名分點前17天券商代號,0.0559614431933293
chunk_1,賣超第15名分點前19天賣筆數,0.0557144150729794
chunk_3,買超第3名分點前16天買筆數,0.0555600369617672
chunk_1,技術指標_季ADXR(14),0.0553389624225563
chunk_2,買超第1名分點前6天買筆數,0.055333377432344
chunk_1,技術指標_CM-VIX(%),0.0551126074706405
chunk_2,賣超第13名分點前19天買筆數,0.0548798618006506
chunk_1,賣超第11名分點前15天券商代號,0.0548637242669264
chunk_1,賣超第12名分點前9天券商代號,0.0548455009982981
chunk_2,賣超第6名分點前2天金額增減(千),0.0546072261567058
chunk_2,買超第11名分點前19天買筆數,0.0544543675135222
chunk_2,賣超第3名分點前14天賣筆數,0.054411499129779
chunk_1,主力券商_前4天分點吃貨比(%),0.0543697741640834
chunk_1,賣超第7名分點前18天券商代號,0.0543583621019293
chunk_3,賣超第14名分點前3天金額增減(千),0.0541902120053608
chunk_1,技術指標_ADXR(14),0.0539170056623059
chunk_1,賣超第2名分點前18天買筆數,0.0538989041031031
chunk_1,季IFRS財報_原始累計每股營業利益(元),0.0538740316467307
chunk_1,上市加權指數前3天成交量,0.0535453009839443
chunk_2,賣超第1名分點前17天買均價,0.053492498545322
chunk_2,賣超第4名分點前12天賣筆數,0.0533916568942765
chunk_1,買超第4名分點前20天買筆數,0.0533412899076494
chunk_2,買超第6名分點前14天買均價,0.0532259592903066
chunk_1,賣超第13名分點前15天賣均張,0.0531911524943011
chunk_3,賣超第13名分點前20天賣均張,0.0531835514954453
chunk_2,賣超第1名分點前9天賣均價,0.0531548136726993
chunk_1,技術指標_K(9),0.0531495317448285
chunk_1,主力券商_前5天分點吃貨比(%),0.0528796366611077
chunk_1,買超第1名分點前8天買筆數,0.0528213947945643
chunk_2,買超第1名分點前14天買張,0.0527273222178848
chunk_2,賣超第12名分點前12天金額增減(千),0.0526558165342631
chunk_3,買超第10名分點前4天買均價,0.0525898155558083
chunk_2,賣超第6名分點前20天券商代號,0.0525442596027241
chunk_1,賣超第5名分點前9天券商代號,0.052520253304354
chunk_2,買超第11名分點前2天買均價,0.0521479781974615
chunk_3,賣超第1名分點前5天券商代號,0.0520663802233723
chunk_1,個股券商分點區域分析_近1日成交3分點區域密度,0.0520357782140526
chunk_1,買超第1名分點前10天券商代號,0.0518865630940964
chunk_1,上市加權指數前14天成交量,0.0517905377141874
chunk_1,買超第15名分點前7天券商代號,0.0516334391825843
chunk_1,技術指標_週DIF,0.0513991607456965
chunk_2,賣超第2名分點前11天賣筆數,0.0513233025394777
chunk_3,買超第7名分點前17天券商代號,0.051172424352112
chunk_1,買超第1名分點前10天買筆數,0.0511267866906233
chunk_1,買超第6名分點前17天賣均價,0.0511086328336921
chunk_1,賣超第13名分點前20天賣筆數,0.0510394645945311
chunk_1,賣超第2名分點前12天券商代號,0.0509773450155827
chunk_1,賣超第10名分點前20天賣筆數,0.0509445771462212
